# hex,owner,ladd — generated by scripts/gen-le-aircraft.py, do not edit
a23268,STATE OF ALASKA  DEPARTMENT OF PUBLIC SAFETY,1
a2334f,COLLIER COUNTY SHERIFFS OFFICE,0
a2376d,DEPARTMENT OF HOMELAND SECURITY  CUSTOMS AND BOR,0
a23c21,LIMESTONE COUNTY SHERIFF DEPARTMENT,0
a23c45,MESA POLICE DEPARTMENT,0
a23ce3,TEXAS DEPARTMENT OF PUBLIC SAFETY  AIRCRAFT SECT,0
a23fd8,LIMESTONE COUNTY SHERIFF DEPT,0
a2421b,WASHINGTON STATE PATROL,0
a24344,HILLSBOROUGH COUNTY SHERIFFS OFFICE,0
a24597,DEPARTMENT OF HOMELAND SECURITY  US CUSTOMS & BO,0
a2467e,ALASKA DEPARTMENT OF PUBLIC SAFETY,1
a2474a,DEPARTMENT OF HOMELAND SECURITY,0
a24947,DEPARTMENT OF HOMELAND SECURITY,0
a24a7f,FORT BEND COUNTY SHERIFFS DEPARTMENT,0
a24abd,CALIFORNIA HIGHWAY PATROL,0
a24b01,DEPARTMENT OF HOMELAND SECURITY,0
a255e2,FLORIDA HIGHWAY PATROL,0
a257be,CULLMAN POLICE DEPARTMENT,0
a25bfd,DEPARTMENT OF HOMELAND SECURITY,0
a263a4,DEPARTMENT OF HOMELAND SECURITY,0
a265c3,DEPARTMENT OF HOMELAND SECURITY,0
a2668e,U S BORDER PATROL,0
a2675b,DEPARTMENT OF HOMELAND SECURITY,0
a26a38,VICTORIA COUNTY SHERIFF,0
a26ba5,SACRAMENTO COUNTY SHERIFFS OFFICE,0
a2719b,BROWARD COUNTY SHERIFFS OFFICE,0
a27635,COLLIER COUNTY SHERIFFS OFFICE,0
a276b0,MARTIN COUNTY SHERIFFS OFFICE,0
a2791b,PINAL COUNTY SHERIFFS OFFICE,0
a2796c,FORT BEND COUNTY SHERIFFS OFFICE,0
a27e80,VIRGINIA STATE POLICE,0
a27ffc,DALE COUNTY SHERIFF OFFICE,0
a28012,CITY OF MYRTLE BEACH POLICE DEPARTMENT,0
a283b3,DALE COUNTY SHERIFFS OFFICE,0
a283e0,DEPARTMENT OF HOMELAND SECURITY,0
a28676,DALE COUNTY SHERIFFS OFFICE,0
a2876a,DALE CO SHERIFFS DEPT,0
